,Messages,Organization
79,"Trump, three of his children sued for fraud
Advertisement

Trump lawyer Alina Habba dismissed the allegations as politically motivated, saying in a statement that the attorney general’s claims are “meritless”…writes Ashe O

Former President Donald Trump and three of his grown-up children and executives at his company have been sued by the New York Attorney General Letitia James on Wednesday for “flagrantly manipulating property valuations to deceive lenders, insurance brokers and tax authorities into giving them better rates on bank loans and insurance policies and to reduce their tax liability.”

In a 222-page civil law suit, James sought the New York Supreme Court to bar Trump, as well as Donald Trump Jr., Ivanka Trump and Eric Trump, from serving as executives at any company in New York, and to bar the Trump Organization from acquiring any commercial real estate or receiving loans from any New York-registered financial institution for five years, the Washington Post reported.

It seeks to recover more than $250 million in what James’s office says are ill-gotten gains received through the alleged deceptive practices. While the lawsuit itself is not a criminal prosecution, James (D) said she has referred possible violations of federal law to the Justice Department and the IRS, the report said.

Trump lawyer Alina Habba dismissed the allegations as politically motivated, saying in a statement that the attorney general’s claims are “meritless”.

The lawsuit, filed in New York Supreme Court, is the result of a more than two-year investigation by James and names 23 properties in the Trump Organization portfolio, including his Mar-a-Lago Club in Florida, his Seven Springs estate in Westchester County, New York, and the D.C. hotel he leased from the federal government until he sold it in May.

“The inflated asset valuations in the Statements cannot be brushed aside or excused as merely the result of exaggeration or good faith estimation about which reasonable real estate professionals may differ,” it says.

Trump faces more than 18 months after he left the White House and at a time when he remains actively involved in Republican politics and has broadly suggested he will run for president again in 2024. In addition to naming Trump and three of his children personally, the suit names the Trump Organization and Allen Weisselberg, Trump’s longtime Chief Financial Officer (CFO) who recently pleaded guilty to tax crimes, and financial controller Jeffrey McConney.

Trump and his attorneys have dismissed James’s inquiry as politically motivated and have repeatedly said that Trump and his family have done nothing illegal in operating their businesses. Pointing to statements James made on the campaign trail in which she promised to investigate him, Trump has coined her investigation a “witch hunt”.

“Today’s filing is neither focused on the facts nor the law – rather, it is solely focused on advancing the Attorney General’s political agenda,” Alina Habba, one of Trump’s lawyers, said in a statement on Wednesday morning. “We are confident that our judicial system will not stand for this unchecked abuse of authority, and we look forward to defending our client against each and every one of the Attorney General’s meritless claims.”

Defence attorneys have said in court that commercial real estate firms routinely argue for lower tax appraisals and that the company’s conduct was no different, but James said Wednesday that the misstated valuations cannot be brushed as a “good faith mistake”. The former president and his family should be held to the same standards as everyday Americans, James said at a news conference in Manhattan, noting that it is illegal for people to lie to banks in order to secure loans to send their children to college or get a home mortgage.

“Claiming you have money that you do not have does not amount to the art of the deal. It’s the art of the steal,” James said, mocking the title of Donald Trump’s 1987 book. “There cannot be different rules for different people in this country or in this state.”

[mc4wp_form id=""""]",New|York|Supreme|Court|Trump|Organization|Washington|Post|Justice|Department|I|##RS|New|York|Supreme|Court|Trump|Organization|Mar|-|a|-|La|##go|Club|Springs|D|State|White|House|Organization|CF|
80,"US unearths largest-ever Covid relief fraud
Advertisement

The suspects are alleged to have issued bills for meals they did not serve to children who did not exist, according to the Department of Justice (DoJ)…reports Asian Lite News

US prosecutors have charged 47 people in connection with the largest ever Covid-19 relief fraud scheme, with the suspects accused of stealing a whopping $250 million from a government aid programme that was supposed to feed children in need during the health crisis.



In a statement on Tuesday, FBI Director Christopher Wray said this “egregious plot” was the largest of its kind uncovered so far, the BBC reported.



The suspects are alleged to have issued bills for meals they did not serve to children who did not exist, according to the Department of Justice (DoJ).



The defendants are said to have bribed employees of the Minnesota non-profit organisation, Feeding Our Future, to sponsor numerous sham distribution sites.



These sites claimed to be serving meals to thousands of children a day within just days or weeks of being formed, said the DoJ.



But they were instead submitting false paperwork using bogus children’s names.



The Department said that the accused used the proceeds to buy luxury cars, as well as property in the US, Kenya and Turkey, and to fund international travel.



The suspects face charges including wire fraud, money laundering and bribery, the BBC reported.



However, Feeding Our Future has denied any wrongdoing.



A lawyer for the organisation’s founder, Aimee Bock, told the BBC: “We have maintained our innocence from the first day.”



He said the indictment was “merely the beginning of the criminal process” and represented a “mere allegation”.



This development comes after the DoJ in March had brought over 1,000 criminal cases involving losses of $1.1 billion and was involved in civil litigation alleging fraud in more than $6 billion of loans.

[mc4wp_form id=""""]",##vid|Department|of|Justice|Do|##J|Asian|Li|##te|News|US|Co|##vid|FBI|BBC|Department|of|Justice|Do|##J|Fe|##eding|Our|Future|Do|##J|Department|BBC|Fe|##eding|Our|Future|BBC|Do|##J|
81,"Migrants sent to Massachusetts sue Florida officials
Advertisement

DeSantis, a Republican, sent two planes of undocumented migrants to Martha’s Vineyard, last week, to “facilitate the transport of illegal immigrants to sanctuary jurisdictions”…reports Asian Lite News

A group of migrants currently in the US have filed a class action lawsuit against Florida officials who sent them to Martha’s Vineyard, Massachusetts, last week.



The lawsuit, filed on Tuesday in the US District Court for the District of Massachusetts, alleged that Florida Governor Ron DeSantis and the state’s transportation secretary “impermissibly interfered with the federal government’s exclusive control over immigration in furtherance of an unlawful goal and a personal political agenda”, reports Xinhua news agency.



DeSantis, a Republican, sent two planes of undocumented migrants to Martha’s Vineyard, last week, to “facilitate the transport of illegal immigrants to sanctuary jurisdictions”.



He is among several Republican governors who have relocated migrants to northern parts of the US in protest of President Joe Biden’s immigration policies.



Texas Governor Greg Abbott has also sent thousands of migrants to Washington, D.C., New York City, and Chicago, while his Arizona counterpart Doug Ducey has bused individuals to the US capital.



Democrats have responded by accusing the Republicans of using the migrants as political pawns.



Reports that a plane carrying migrants was heading to Biden’s home state of Delaware drew wide attention on Tuesday.



White House press secretary Karine Jean-Pierre told reporters on Tuesday that the Biden administration was aware of the reports that a plane was heading to Delaware.



“We’ve been closely coordinating with the folks in Delaware, the officials in Delaware,” Jean-Pierre said, adding that they had not been in touch with DeSantis.



So far this year, federal agents have made about 1.82 million arrests at the country’s southern border, according to figures released by the Customs and Border Protection.

ALSO READ: Russia ready to supply petrol to Pakistan on deferred payments

[mc4wp_form id=""""]",Asian|Li|##te|News|US|District|Court|for|the|District|of|Massachusetts|Xi|##nh|AL|
82,"Putin's military mobilisation sparks protests and an exodus from Russia
The cries of ""no to war"" are once again sweeping across Russia. From St. Petersburg to Yakutsk, citizens have once again taken to the streets to show their rejection of the war and the partial military mobilisation announced by President Vladimir Putin. According to the independent protest monitoring group OVD-Info, at least 1,386 people have been arrested in 38 cities across the country. Moscow and St. Petersburg are the metropolises where the most arrests have been reported, 509 and 541 respectively.

In the capital, OVD-Info reports that a girl lost consciousness as a result of beatings by security forces and that the authorities used the metro's facial recognition system to arrest citizens. The monitoring group also reports that in four Moscow police departments, those arrested were handed summonses to the military registration and enlistment office.

""No to mobilisation"" and the mythical ""no to war"" were among the slogans chanted by the demonstrators, although there were also references to the government, specifically Putin. ""Send Putin to the trenches!"" citizens in St. Petersburg, the president's hometown, shouted.

A crowd gathered this evening on Arbat, Moscow's main pedestrian street, shouts ""Send Putin to the trenches!"" pic.twitter.com/pkm8vynnxw — Francis Scarr (@francis_scarr) September 21, 2022

""Why are you serving Putin, a man who has been in power for 20 years?"" one young protester shouted at the politician, AFP reports. ""You fucking bald-headed nutcase. He's not going to drop a bomb and we'll all still protect him,"" a woman in Yekaterinburg told AP, referring to the Russian president.

During the demonstrations, citizens expressed their fear of the military mobilisation. ""Why are they deciding my future for me? I'm afraid for me, for my brother,"" one student told AFP. ""The most valuable thing they can take from us is our children's lives. I will not give them my son's life,"" said another protester in Moscow.

La principal calle comercial del centro de Moscú ahora mismo. Gritan: “No a la guerra”. La gente joven muy, muy, muy enfadada. Los mayores, asustados por el rumbo de las cosas. Furgones policiales llenos de detenidos. La policía, con problemas para disolver a la multitud. pic.twitter.com/qBVCQex4CP — Xavier Colás (@xaviercolas) September 21, 2022

Similar demonstrations were held in the Siberian city of Ulan Ude, where one citizen called for ""no orphaned children"". ""We want our fathers, husbands and brothers to stay alive, stop the war and don't take our people away,"" she said, according to CNN.

The Russian Interior Ministry described the protests as ""unauthorised actions with an extremely small number of participants"" in a statement carried by Russian news agencies. ""All of these were detained. Those who violated the laws were detained and taken to police stations for investigation,"" the statement added.

Almost 2K Russians jailed today as a result of protests against mobilisation. Or deathification as they are called locally in #Russia. pic.twitter.com/jhQiYbGucX — Lesia Vasylenko (@lesiavasylenko) September 21, 2022

Shortly after Russia began its brutal invasion of Ukraine, thousands of Russian citizens took to the streets of different cities for several days to protest against the ""special military operation"". The authorities crushed the demonstrations with violence and tightened laws against freedom of speech and assembly, raising the prison sentence to 15 years for participating in the marches.

For months there were no major protests, but the military mobilisation reignited the spark of discontent with the war and the government. From 24 February to 21 September, 16,500 arrests and 245 criminal charges have been reported, according to OVD-Info data.

Protests against partial mobilization in Yekaterinburg. pic.twitter.com/fsKE8yFPo6 — Michael Weiss 🌻🇺🇸🇮🇪 (@michaeldweiss) September 21, 2022

The draft has angered Russian citizens. 300,000 ""military experienced"" men between the ages of 18 and 65 will join the war in Ukraine. 300,000 men who, as the Vesna peace movement claims, ""will be thrown into the meat grinder"". According to the latest official figures, 5,937 Russian soldiers have lost their lives during the invasion. However, the real figure could be much higher.

Protests in Moscow and St Petersburg today have grown pretty large. People chanting “No to War!” Dozens of arrests reported pic.twitter.com/9F4E5VIy9E — Matthew Luxmoore (@mjluxmoore) September 21, 2022

US intelligence reports estimated in early August between 75,000 and 80,000 casualties since the beginning of the war. Ukraine, for its part, claims that its armed forces eliminated some 51,900 Russian troops between 24 February and 9 September, noting that 650 Russians were killed on 8 September alone - during the counteroffensive in the east of the country. ""This regime has condemned itself and is destroying its youth,"" a 60-year-old Russian citizen told AFP.

First clips coming out of Russia this morning of draftees saying bye to their families. This from a small town in Yakutsk. Credits @taygainfo pic.twitter.com/tlaVRoDgLT — Pjotr Sauer (@PjotrSauer) September 22, 2022

Desperation to escape Russia

Putin's announcement has angered the population, sparking mass protests. Other consequences of the military mobilisation have been a major Russian exodus to countries where citizens do not need visas, such as Turkey, Armenia, Serbia and Georgia.

Shortly after the speech, airline ticket prices rose and many sold out within hours. Istanbul, Yerevan and Belgrade are some of the destinations that are no longer available on Russian airline websites. The same has happened with direct flights to Azerbaijan, Kazakhstan, Uzbekistan and Kyrgyzstan.

Flights departing Moscow and St. Petersburg today. The @AP is reporting international flights departing Russia have either sold out or skyrocketed in price after Putin announced a mobilization of reservists.



Search SVO, VKO, DME for Moscow airports and LED for St. Petersburg. pic.twitter.com/LV2PrkwPD9 — Flightradar24 (@flightradar24) September 21, 2022

In the absence of flights, many citizens have opted to escape across land borders. Finnish border guards told Reuters they had noticed an ""exceptional number"" of Russians trying to cross the border overnight.

According to the news agency, more than 4,800 Russians arrived in Finland the same day the partial military mobilisation was announced. The same has happened on the border with Georgia, Mongolia and Kazakhstan. The media outlet RFE/RL even spoke of a ""collapse"" on the Russian-Georgian border.

#Breaking: Just in - Reports that more #Russia[n civilians are fleeing their country in the early morning of Thursday, video footage showing you a huge line of cars forming at the Russian border checkpoint of #Kyakhta, #Mongolia. #Ukraine️ pic.twitter.com/4Td4bAWyM7 — Sotiri Dimpinoudis (@sotiridi) September 22, 2022

Unsurprisingly, the Kremlin has dismissed this information as 'false', claiming that the increase in border traffic is 'highly exaggerated'. In order to curb the mass flight of citizens, Moscow has reportedly banned airlines from selling tickets to men between the ages of 18 and 65. A Telegram channel has reported several cases in which border guards have banned men of military age from leaving the country.

The current exodus is in addition to the one that began in February, shortly after the invasion. Many Russians chose to leave the country for fear of being called up or to avoid the economic consequences of sanctions imposed against Moscow.

All flights to Istanbul from Moscow are now sold out. https://t.co/OMKmt2w11P pic.twitter.com/7FboN5p5Ow — Konrad Muzyka - Rochan Consulting (@konrad_muzyka) September 21, 2022

The European Union banned air travel with Russia, although some citizens have certain options to enter EU territory. However, Poland, Estonia, Latvia and Lithuania have recently closed their doors to Russians, and are pressuring other nations to do the same. The Baltic states have also refused to offer refuge to citizens fleeing military mobilisation.",O|##VD|-|In|##fo|O|##VD|In|##fo|A|##FP|AP|La|La|
83,"Zelensky calls for withdrawal of Russia's veto at the UN
In the framework of the UN General Assembly, which is now in its third day, the President of Ukraine, Volodymir Zelensky, has denounced the ""destruction"" that Russia is causing in his country. For this reason, the Ukrainian president has proposed a five-point ""formula for peace"" in the Assembly itself, demanding that the rest of the member countries punish Moscow.

In his speech, made via video, Zelensky denounced the fact that ""a crime has been committed against Ukraine"" and for this reason ""we demand a just punishment"". In his appearance, dressed in his usual green military shirt, he insisted that his country ""wants peace"" but that, after Russia's invasion of Ukraine, the Ukrainian country has been forced to fight and is now demonstrating ""its strength on the battlefield"".

AFP/UKRAINIAN PRESIDENTIAL PRESS SERVICE - Ukrainian President Volodimir Zelenski looks at a map during a visit to a Ukrainian army position

Zelensky also insisted that ""Russia wants war"" and blamed Moscow for the fact that when it talks about negotiating, it mobilises reservists or referendums on the annexation of areas occupied by the Russian army. Zelensky proposed reaching an agreement to end the conflict on the basis of principles set by his country: a comprehensive punishment of Russia for the aggression, protection of life, restoration of Ukraine's security and territorial integrity, security guarantees and the country's determination to continue defending itself.

As punishment, the Ukrainian president continues to call for sanctions and a trade embargo on relations with Moscow, as well as the withdrawal of its voting rights in international bodies such as the Security Council, visa restrictions for Russians and the creation of a specific tribunal to try ""war crimes"". Ukraine accuses Russia of having committed such crimes during its offensives, such as in Bucha and Izium, a territory recently liberated by Ukraine, where more than 400 corpses have been found in mass graves.

AFP/ANATOLII STEPANOV - Ukrainian soldiers in a trench on the front line with Russian troops in the Lugansk region

In this regard, the Ukrainian leader said that ""Russia wants to spend the winter in the occupied territory of Ukraine and prepare its forces to attempt a new offensive. New Buchas, new Iziums..."".

Zelensky also spoke harshly about the countries that have stood aside in condemning the Russian invasion, saying that ""those who talk about neutrality when human values and peace are under attack are talking about something else. They are talking about indifference"".

AP/EVGEIY MALOLETKA - Maria, centre, hugs her parents Marina and Alexander during their first meeting seven months after the start of the war in the newly retaken city of Izium, Ukraine

Alongside this, and in order to continue to be able to stand up to Russia, Zelensky again called for more military support, with an emphasis on long-range weapons and air defences, as well as greater financial assistance to ""maintain internal stability"" and ""support the population"".

In conclusion, the Ukrainian president was optimistic about the course of the war, saying that they have the capacity to ""return the Ukrainian flag to the whole of our territory. We can do it with force of arms, but we need time"".

AFP/ SERGEY BOBOK - This photograph taken in eastern Ukraine on 15 September 2022 shows a Russian '2K22 Tunguska' self-propelled anti-aircraft gun in Balakliya

Putin threatens nuclear weapons

Russian President Vladimir Putin continues to accuse the West of having created this war, a term he has used for the first time since the beginning of his invasion, after trying to ""destroy Russia"". As a result, Putin has once again flaunted his nuclear arsenal, declaring that he is prepared to respond with nuclear weapons.

Following this threat, Putin mobilised 300,000 Russian reservists to go to the front lines, which has provoked a mass exodus of Russian citizens who say they do not want to fight ""or die for Putin"". This is the first Russian mobilisation since the Second World War, a mobilisation which, moreover, aims to achieve Putin's main objective: to ""liberate"" the Donbas region, a region in which, according to him, the citizens do not want to return to living ""under the yoke"" of Ukraine.

PHOTO/FILE - Russian President Vladimir Putin

He also expressed his full support for the referendums announced to be held on 23 and 27 September in the Ukrainian regions of Lugansk, Donetsk, Kherson and Zaporiyia to join the Russian Federation. He also indicated in his latest address to the nation that, in order to defend their borders, ""they will use all possible means"", so that if there is an attack on these territories it is possible that Russia will consider it an attack on the country.",UN|UN|General|Assembly|Assembly|A|##FP|UK|##RA|##IN|##IA|##N|##im|Security|Council|I|AN|Z|
84,"How the New Brunswick government plans to tackle climate change
For the first time, the New Brunswick government is publicizing its climate change targets.

In an updated plan, the province is committing to lowering emissions 46 per cent below 2005 levels by 2030. It is at 37 per cent now.

The plan aims to reach net zero by 2050. But, the province says that will depend on moving its electrical grid from fossil fuels to renewables.

“The plan commits to expanding energy efficiency programs. It commits to the strategy,” said Louise Comeau, director of the Conservation Council of New Brunswick’s climate change and energy solutions program.

""So for today, I’m taking these as positive signals, realizing all the while that we also have headwinds that I would say could undermine the plan if we go down the wrong path.”

The conservation council says it supports what it’s seen so far and that NB Power has shown openness to accepting clean electricity as the norm, not the exception.

Over the next two years, the government says it is committed to delivering on 14 of the 30 actions in the plan. These will include:

Supporting the transition to zero-emission freight by implementing an incentive program and completing a zero-emission freight strategy.

Setting clear electricity efficiency performance targets and reporting requirements for NB Power.

Ensuring New Brunswickers have equitable access to energy efficiency programs through long-term financing and/or payment options.

Supporting regional service commissions in developing and implementing regional transportation plans.

Developing a performance standard to ensure landfill gas management systems are meeting requirements related to increased methane capture and reduced emissions.

Maintaining biodiversity by publishing a list of climate-sensitive species and setting a new target for protected areas.

The province says the remaining 16 actions, such as assessing the carbon stock of forests and wetlands, and training tradespeople in skills related to energy-efficient buildings, will take longer than two years to complete.",Conservation|Council|of|New|Brunswick|N|##B|Power|N|##B|Power|New|Brunswick|
85,"N.S. man, woman charged with drug and firearms offences after several weapons, drugs seized from home: RCMP
A man and woman from Sheet Harbour, N.S., have been charged with drug and firearms offences after a search warrant was executed in a residence in the community over the weekend.

Halifax District RCMP, along with RCMP's Emergency Response Team, searched a residence on Albert Howe Lane Saturday as part of an ongoing firearm investigation.

Police say four people were in the home at the time of the search.

Two of those residents, a 30-year-old man and a 32-year-old woman, were arrested for drug and weapons offences, according to RCMP.

Police say two other occupants of the home are not believed to be involved in the offences.

One of the occupants suffered minor injuries, and was treated and released by EHS. Police say no one else was injured.

During the search, police say officers seized a replica firearm, a quantity of suspected methamphetamine, suspected opioids and cannabis products.

Both the man and woman were held in custody.

Stephen James Power has been charged with:

two counts of possession of a firearm contrary to prohibition order

possession of a firearm knowing its possession is unauthorized

unauthorized possession of a firearm

careless use of a firearm

possession of a weapon for a dangerous purpose

possession of property obtained by crime

failure to comply with a probation order

possession of cannabis for the purpose of selling

possession for use in production or distribution of illicit cannabis

Brittany Catherine Sack has been charged with:

possession of a firearm contrary to prohibition order

possession of a firearm knowing its possession is unauthorized

unauthorized possession of a firearm

careless use of a firearm

possession of a weapon for a dangerous purpose

two counts of possession of property obtained by crime

possession of cannabis for the purpose of selling

possession for use in production or distribution of illicit cannabis

Power and Sack were remanded into custody and are scheduled to appear in Dartmouth provincial court on Thursday at 9:30 a.m.",RC|##MP|Halifax|District|RC|##MP|RC|##MP|Emergency|Response|Team|RC|##MP|E|##HS|Dartmouth|
86,"New York attorney general sues Trump for fraud over family business
NEW YORK — Donald Trump and three of his children have been hit by a fraud lawsuit after a New York investigation into their family company — the Trump Organization.



It alleges that they lied ""by billions"" about the value of real estate in order to get loans and pay less tax. Prosecutors say the Trump Organization committed numerous acts of fraud between 2011 and 2021.



Trump has dismissed the lawsuit as ""another witch hunt"".



Two executives at the Trump Organization, Allen Weisselberg and Jeffrey McConney, were named as defendants alongside the former president and his eldest children, Donald Jr, Ivanka and Eric Trump.



The lawsuit has been brought by New York Attorney General Letitia James, who is the state's most senior lawyer, after a three-year civil investigation.



Her office does not have the power to file criminal charges, but is referring allegations of criminal wrongdoing to federal prosecutors and to the Internal Revenue Service.



""With the help of his children and senior executives at the Trump Organization, Donald Trump falsely inflated his net worth by billions of dollars to unjustly enrich himself and cheat the system,"" James said in a statement.



She said Trump's own apartment in Trump Tower, which was valued at $327 million (£288m), was among the properties whose values were allegedly misrepresented.



""No apartment in New York City has ever sold for close to that amount,"" James added.



""White collar financial crime is not a victimless crime,"" the attorney general said.



""When the well-connected break the law to take in more money than they are entitled to, it reduces resources available to working people, to regular people, to small businesses and to all tax payers.""



James, who wants to recover an estimated $250 million (£220m) that she said was the result of fraud, dubbed the situation ""the art of the steal"".



She is asking a court to bar the former president and his children from serving as officers or directors in any New York business.



She also wants the Trump Organization banned from engaging in real estate transactions there for five years.



The announcement comes after James — a Democrat who is running for re-election in November — rejected at least one offer to settle the long-running civil investigation into the company's business practices.



Blasting the lawsuit on his Truth Social site, Trump branded James, who is black, a racist.



""Another Witch Hunt by a racist Attorney General, Letitia James, who failed in her run for Governor, getting almost zero support from the public,"" he wrote.



On Twitter, Donald Trump Jr accused James of ""weaponizing her office to go after her political opponents"".



In August Trump declined to answer questions during an interview at the attorney general's office connected to this civil investigation. James said he repeatedly invoked his Fifth Amendment right to not self-incriminate, confirming only his name.



James said that Eric Trump did the same more than 500 times in a 2020 deposition.



Tristan Snell, a lawyer and former prosecutor who worked on a separate case against Trump University, told the BBC that the lawsuit could take a year to go to trial.



But the potential of such a trial could severely restrict Trump's ability to do business in New York and profit from his marquee real estate holdings in New York City.



It could trigger a series of financial consequences that would make it harder for him to raise capital and maintain credit, Snell said.



""It definitely could be ruinous for him,"" Snell said. The lawsuit is one of a number of legal issues the former president is facing.



On Aug. 8, the FBI conducted a search warrant at his home in Mar-a-Lago as part of an investigation into his handling of classified records.



He is also being investigated in Georgia in relation to efforts to overturn the 2020 presidential election. He has also denied any wrongdoing in those investigations. — BBC",NE|##W|Y|##OR|##K|Trump|Organization|Trump|Organization|Trump|Organization|Internal|Revenue|Service|Trump|Organization|New|Organization|Truth|Social|
87,"Optus cyber attack: Nearly 10 million Aussies left vulnerable
Millions of Optus users may have had their personal details compromised after a major data breach caused hackers to access private information.

The telecommunications company made the announcement on Thursday saying almost 10 million people may have been affected, including current and former customers.

Optus has suffered a massive cyberattack. Source: Getty

What information has been stolen?

It's been reported that up to 2.8 million phone and internet users could have had all of their information stolen, including their passport and driver licence numbers, email and home addresses, dates of birth and telephone numbers.

A further seven million have had only their dates of birth, email addresses and phone numbers compromised in what's considered to be one of the biggest cyber attacks in Australian history.

It’s understood hackers exploited a weakness in Optus’ firewall, The Australian reported.

Payment details and account passwords have not been compromised, Optus confirmed.

What is being done about the Optus breach?

The telecommunications company says it is working with the Australian Cyber Security Centre to limit any risk to current and former customers.

The Australian Federal Police, the Office of the Australian Information Regulator and other key regulators have also been notified.

""We are devastated to discover that we have been subject to a cyberattack that has resulted in the disclosure of our customers’ personal information to someone who shouldn’t see it,"" Kelly Bayer Rosmarin, Optus CEO, said in a statement on Thursday.

""As soon as we knew, we took action to block the attack and began an immediate investigation. While not everyone maybe affected and our investigation is not yet complete, we want all of our customers to be aware of what has happened as soon as possible so that they can increase their vigilance.

Story continues

""We are very sorry and understand customers will be concerned. Please be assured that we are working hard, and engaging with all the relevant authorities and organisations, to help safeguard our customers as much as possible.""

Optus customers urged to have 'heightened awareness'

Optus is not yet aware of any customers that have been directly harmed and Optus services remain safe to use and operate as per normal.

But customers are encouraged to have ""heightened awareness across their accounts"".

This includes looking out for unusual or fraudulent activity and any notifications which seem odd or suspicious.

Do you have a story tip? Email: newsroomau@yahoonews.com.

You can also follow us on Facebook, Instagram, TikTok and Twitter and download the Yahoo News app from the App Store or Google Play.",Op|##tus|Op|##tus|Op|##tus|Get|Op|##tus|Australian|Op|##tus|Op|##tus|Australian|Cy|##ber|Security|Centre|Australian|Federal|Police|Office|of|the|Australian|Information|Reg|##ulator|Op|##tus|Op|Op|Op|
88,"Delhi Traffic Police adds Bhramastra's ""Belt-Astra"" Twist to Spread Road Safety Awareness.
Delhi Police has recently undertaken a drive as part of awareness campaign to ensure passengers in the rear seat of cars wear seat belts to prevent casualties.

Delhi Traffic Police chose evoke dialogues from Ranbir Kapoor and Alia Bhatt's recent movie Brahmastra to drive home the importance of seat belts to ensure road safety in case of accidents. In its recent social media post, Delhi Traffic Police highlighted how seat belts can actually be the weapon one needs to avoid serious injuries, even death, amid calls to make seat belts on all seats mandatory. The Centre recently came up with a draft rule that will also make rear seat belt alarm compulsory in coming days.

Delhi Police has recently undertaken a drive as part of awareness campaign to ensure passengers in the rear seat of cars wear seat belts to prevent casualties. The campaign, that began last week, has already seen the cops issue challan to more than 50 people for not wearing seat belts on backseats. According to traffic rules, commuters found violating rear seat belt rule will be fined ₹1,000.

The Centre plans to enforce the use of rear seatbelts after the recent death of Cyrus Mistry, former chairman of Tata Motors, in a car crash. Mistry was found not wearing seat belts at the backseat of a luxury SUV before it crashed. According to preliminary investigations, the safety overlook from Mistry was one of the reasons why airbags at the rear did not deploy on impact and led to his death.

FOLLOW US:Stay Updated with latest content - Subscribe us on

FOLLOW US:Stay Updated with latest content - Subscribe us on

Road accident deaths are one of the highest in the norther part of the country. Last year, over 1,900 people died in Delhi in road accidents. Most of these accidents were caused due to drivers' negligence, or safety oversight from passengers in rear seats. A recent report by the Centre revealed that more than 15,000 people lost their lives in accidents because they were not wearing seatbelts at the rear.

India is one of the top countries when it comes to number of road accidents or deaths every year across the world. The number of road accidents in India increased by 12 per cent last year compared to 2020. Number of people who lost their lives due to road mishaps went up by nearly 17 per cent from 1.33 lakh deaths in 2020. According to World Bank's statement last year, in India, one person dies every four minutes in road accidents.

When it comes to safety protocols. wearing seatbelts is mandatory for all occupants in a car in India. However, many occupants flout this protocol, especially the passengers at the back of cars. The enforcement of this rule, so far, has been weak.

First Published Date:",Delhi|Traffic|Police|##hra|##mas|Delhi|Police|Delhi|Traffic|Police|B|##rah|##mas|##tra|Delhi|Traffic|Police|Centre|Delhi|Police|Centre|Ta|##ta|Motors|
89,"Ola Electric cuts 200 software jobs; to hire 3k in non-software domain: Report
Bengaluru-based EV maker Ola Electric has laid off 200 people from its software team and is planning to hire around 3,000 people on the non-engineering domains as the company has been increasing its focus on the non-software side of things, PTI reported. The EV maker is focusing on building engineering and R&D capabilities across vehicle, cell, battery, manufacturing and automation as well as autonomous engineering streams.

With the launch of its first premium electric car in pipeline, Ola Electric is focusing on becoming a vertically integrated mobility company. ""Ola is building on common capabilities and synergies across functions as it strengthens its play across two-wheelers, four-wheelers, cell R&D and manufacturing,"" the company said in a statement to PTI.

(Also read | Ola Electric shares glimpse of work happening on its electric car)

In order to fulfil these goals, the company is working on centralising its operations and is undertaking a restructuring exercise so as to minimise redundancy. The company aims to build a strong lateral structure that will embolden relevant roles and functions. Once this exercise is implemented, it will impact 10 per cent of the workforce of around 2,000 engineers.

FOLLOW US:Stay Updated with latest content - Subscribe us on

FOLLOW US:Stay Updated with latest content - Subscribe us on

Having an existing pool of around 2,000 engineers, Ola Electric aims to increase this number to 5,000 over the next 18 months.

As for its electric car, the company has set an ambitious target of selling 10 lakh electric cars by 2026-2027. It sold a total of 3,351 units of its electric two-wheelers in August this year, down from 3,426 units in July, as per data from Federation of Automobile Dealers Associations (FADA).

In a separate development, the company is getting ready to offer more to its customers through software updates and other facilities ahead of the festive season. The EV maker also recently announced that it will launch around 200 showrooms across India for the first time since it launched its electric scooters in August last year.

First Published Date:",O|##la|Electric|O|##la|Electric|PT|##I|O|##la|Electric|O|##la|PT|##I|O|##la|Electric|O|##la|Electric|E|
90,"Testing times for UCIL contract workers: Baghrai Mardi
Mail News Service

Jadugora, Sep 21: Uranium Corporation of India Limited (UCIL) contract workers continued their ongoing strike on Wednesday. They staged a demonstration in Matigora on Wednesday to demand equal pay for equal work. They were led by former Zila Parishad member and workers’ union leader Baghrai Mardi.

Addressing the workers, Mardi said the contract workers of UCIL were undergoing testing times. He criticized the company management for installing a ‘No Work, No Pay’ notice at the company gate and appealed to the contract workers to unite for their rights.

Mardi said the company should give equal pay for equal work to the contract workers besides sharing the profits with them. He said there are 75 per cent contract workers in UCIL who also deserve a share in the company’s profit.",UCI|##L|Mar|##di|Mail|News|Service|J|U|##rani|##um|Corporation|of|India|Limited|UCI|##L|Z|##ila|Parish|##ad|UCI|##L|UCI|##L|
